id/team_country__c/fullname/team_name
00509000000XyudAAC/EU//Sales EU
00509000000XyueAAC/EU//Sales EU
00509000002DYLzAAO/US//Sales US
0055q000000gx99AAA/EU//Sales EU
00509000000Wm9iAAC/EU//Sales EU
00509000005LBPOAA4/US//Sales US
0050900000ANclsAAD/US//Sales US
00509000008XKhVAAW/US//Sales US
00509000003zIYXAA2/US//Sales US
00509000000WaPPAA0/US//Sales US
00509000005LBPTAA4/US//Sales US
00509000008XKhaAAG/US//Sales US
0050900000AMpKCAA1/US//Sales US
0050900000ANXkLAAX/US//Sales US
0050900000AMpfjAAD/US//Sales US
0050900000ANclnAAD/US//Sales US
0050900000AMpJsAAL/US//Sales US
0050900000AMpftAAD/US//Sales US
00509000000V8e6AAC/EU//Sales EU
00509000000UlaAAAS/EU//Sales EU
00509000000V8drAAC/EU//Sales EU
00509000000V8f4AAC/EU//Sales EU
00509000000V8d8AAC/EU//Sales EU
00509000000V8dIAAS/EU//Sales EU
00509000000V64gAAC/EU//Sales EU
00509000000V8f9AAC/US//Sales US
00509000000V8euAAC/EU//Sales EU
00509000000V5UaAAK/EU//Sales EU
00509000000V8ezAAC/EU//Sales EU
00509000008X5PFAA0/EU//Sales EU
00509000000V8dSAAS/EU//Sales EU
00509000000V8dmAAC/EU//Sales EU
00509000000V8dcAAC/EU//Sales EU
00509000000V8dXAAS/EU//Sales EU
00509000000V8eVAAS/US//Sales US
00509000002EFdpAAG/EU//Sales EU
00509000000V8dwAAC/EU//Sales EU
00509000000V8eGAAS/EU//Sales EU
00509000000V8e1AAC/EU//Sales EU
00509000000V8eQAAS/EU//Sales EU
00509000000V8eLAAS/EU//Sales EU
00509000002DYM9AAO/EU//Sales EU
00509000002EFk2AAG/EU//Sales EU
00509000000V8dTAAS/EU//Sales EU
00509000000V8eBAAS/EU//Sales EU
00509000002DYM4AAO/EU//Sales EU
00509000000V8eCAAS/US//Sales US
00509000000V8dhAAC/EU//Sales EU
00509000000WaLNAA0/EU//Sales EU
00509000000WaPyAAK/EU//Sales EU
00509000000WaKfAAK/EU//Sales EU
00509000000WaMbAAK/EU//Sales EU
00509000000WaNsAAK/EU//Sales EU
00509000000WaKzAAK/EU//Sales EU
00509000000WaNEAA0/EU//Sales EU
00509000000WaNiAAK/EU//Sales EU
00509000000WaLsAAK/EU//Sales EU
00509000000WaPFAA0/EU//Sales EU
00509000000WaMqAAK/EU//Sales EU
00509000000WaM1AAK/EU//Sales EU
00509000000WaOlAAK/EU//Sales EU
00509000000WaNnAAK/EU//Sales EU
00509000000WaP0AAK/EU//Sales EU
00509000000WaO2AAK/EU//Sales EU
00509000000WaNOAA0/EU//Sales EU
00509000000WaOwAAK/EU//Sales EU
00509000000WaKpAAK/EU//Sales EU
00509000000WaLIAA0/EU//Sales EU
00509000000WaMBAA0/EU//Sales EU
00509000000WaQSAA0/EU//Sales EU
00509000000WaL3AAK/EU//Sales EU
