id/team_country__c/fullname/team_name
00509000000XyudAAC/EU/Taylor Pearson/Sales EU
00509000000XyueAAC/EU/Kevin Johnson/Sales EU
00509000002DYLzAAO/US/Marie Odonnell/Sales US
0055q000000gx99AAA/EU/Rachel Smith/Sales EU
00509000000Wm9iAAC/EU/Andrew Alexander/Sales EU
00509000005LBPOAA4/US/Teresa Guerrero/Sales US
0050900000ANclsAAD/US/Timothy Wise/Sales US
00509000008XKhVAAW/US/James Gonzales/Sales US
00509000003zIYXAA2/US/Gary Stanley/Sales US
00509000000WaPPAA0/US/Heather Sanders/Sales US
00509000005LBPTAA4/US/Cody Schmidt/Sales US
00509000008XKhaAAG/US/Seth Campbell/Sales US
0050900000AMpKCAA1/US/Patricia Robinson/Sales US
0050900000ANXkLAAX/US/Jacob Delgado/Sales US
0050900000AMpfjAAD/US/Catherine Cabrera/Sales US
0050900000ANclnAAD/US/Brian Davis/Sales US
0050900000AMpJsAAL/US/Carrie Ward/Sales US
0050900000AMpftAAD/US/Ian Kim/Sales US
00509000000V8e6AAC/EU/Marissa Kelley/Sales EU
00509000000UlaAAAS/EU/Rebecca Warner/Sales EU
00509000000V8drAAC/EU/Michael Mccann/Sales EU
00509000000V8f4AAC/EU/Alicia Lee/Sales EU
00509000000V8d8AAC/EU/Robert Barker/Sales EU
00509000000V8dIAAS/EU/Laura Harris/Sales EU
00509000000V64gAAC/EU/Autumn Larson/Sales EU
00509000000V8f9AAC/US/Melody Kelly/Sales US
00509000000V8euAAC/EU/Ryan Bird/Sales EU
00509000000V5UaAAK/EU/Tracy Nelson/Sales EU
00509000000V8ezAAC/EU/Sierra Wilson/Sales EU
00509000008X5PFAA0/EU/Victoria Thomas/Sales EU
00509000000V8dSAAS/EU/Sara Mathis/Sales EU
00509000000V8dmAAC/EU/Pamela Shepard/Sales EU
00509000000V8dcAAC/EU/John Griffin/Sales EU
00509000000V8dXAAS/EU/Joshua Velasquez/Sales EU
00509000000V8eVAAS/US/Rebecca Baker/Sales US
00509000002EFdpAAG/EU/Roberto Mcdonald/Sales EU
00509000000V8dwAAC/EU/Brittany Delgado/Sales EU
00509000000V8eGAAS/EU/Ernest Morrison/Sales EU
00509000000V8e1AAC/EU/Austin Obrien/Sales EU
00509000000V8eQAAS/EU/Jeffrey Page/Sales EU
00509000000V8eLAAS/EU/Christopher Garrett/Sales EU
00509000002DYM9AAO/EU/Melissa Cortez/Sales EU
00509000002EFk2AAG/EU/Elizabeth Anderson/Sales EU
00509000000V8dTAAS/EU/Anna Ayala/Sales EU
00509000000V8eBAAS/EU/Rebecca Rivera/Sales EU
00509000002DYM4AAO/EU/Tommy Collins/Sales EU
00509000000V8eCAAS/US/Marcus Bush/Sales US
00509000000V8dhAAC/EU/Sarah Daniel/Sales EU
00509000000WaLNAA0/EU/Erika Roth/Sales EU
00509000000WaPyAAK/EU/John Ramirez/Sales EU
00509000000WaKfAAK/EU/Frank Church/Sales EU
00509000000WaMbAAK/EU/Brenda Walker/Sales EU
00509000000WaNsAAK/EU/Mr. Mark Shaffer/Sales EU
00509000000WaKzAAK/EU/Sharon Manning/Sales EU
00509000000WaNEAA0/EU/Michael Ray/Sales EU
